id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,associatedOccurrences,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
36927000,PU,PERC,,61cff121-261e-4eff-a186-a377f91aa027,PreservedSpecimen,5e4a068d-2628-45dd-92eb-9f2370ef6975,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris",169808,"Robertson, 1891",Andrena,asteris,,,Chandler_L,,,,,,,Osmun_JV,,1961-00-00,1961,0,0,,,10/1/1961,,,,,,,,,,,,,,,,,"United States",Indiana,Allen,,,,,,,,,,,,,,,,,,,,,,,"2019-03-10 06:04:09",http://creativecommons.org/publicdomain/zero/1.0/,"Purdue University, Department of Entomology",,urn:uuid:5e4a068d-2628-45dd-92eb-9f2370ef6975,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=36927000
36927001,PU,PERC,,61cff121-261e-4eff-a186-a377f91aa027,PreservedSpecimen,112cc53a-20c1-46d3-ab1b-c930cbfe88df,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris",169808,"Robertson, 1891",Andrena,asteris,,,Chandler_L,,,,,,,Osmun_JV,,1961-00-00,1961,0,0,,,10/1/1961,,,,,,,,,,,,,,,,,"United States",Indiana,Allen,,,,,,,,,,,,,,,,,,,,,,,"2019-03-10 06:04:09",http://creativecommons.org/publicdomain/zero/1.0/,"Purdue University, Department of Entomology",,urn:uuid:112cc53a-20c1-46d3-ab1b-c930cbfe88df,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=36927001
36927002,PU,PERC,,61cff121-261e-4eff-a186-a377f91aa027,PreservedSpecimen,d845b0c4-7f2d-49a4-8c0e-b2a9dc5a21ae,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris",169808,"Robertson, 1891",Andrena,asteris,,,Chandler_L,,,,,,,Osmun_JV,,1961-00-00,1961,0,0,,,10/1/1961,,,,,,,,,,,,,,,,,"United States",Indiana,Allen,,,,,,,,,,,,,,,,,,,,,,,"2019-03-10 06:04:09",http://creativecommons.org/publicdomain/zero/1.0/,"Purdue University, Department of Entomology",,urn:uuid:d845b0c4-7f2d-49a4-8c0e-b2a9dc5a21ae,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=36927002
36927003,PU,PERC,,61cff121-261e-4eff-a186-a377f91aa027,PreservedSpecimen,ebe3bd78-f47d-440a-879f-818206e9fe2b,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris",169808,"Robertson, 1891",Andrena,asteris,,,Chandler_L,,,,,,,Osmun_JV,,1961-00-00,1961,0,0,,,10/1/1961,,,,,,,,,,,,,,,,,"United States",Indiana,Allen,,,,,,,,,,,,,,,,,,,,,,,"2019-03-10 06:04:09",http://creativecommons.org/publicdomain/zero/1.0/,"Purdue University, Department of Entomology",,urn:uuid:ebe3bd78-f47d-440a-879f-818206e9fe2b,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=36927003
36927004,PU,PERC,,61cff121-261e-4eff-a186-a377f91aa027,PreservedSpecimen,2e4a0bc5-45b9-43f6-9c69-a80006fd7268,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris",169808,"Robertson, 1891",Andrena,asteris,,,Chandler_L,,,,,,,Butts_WL,,1961-00-00,1961,0,0,,,10/4/1961,,,,,,,,,,,,,,,,,"United States",Indiana,Allen,,,,,,,,,,,,,,,,,,,,,,,"2019-03-10 06:04:09",http://creativecommons.org/publicdomain/zero/1.0/,"Purdue University, Department of Entomology",,urn:uuid:2e4a0bc5-45b9-43f6-9c69-a80006fd7268,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=36927004
36927005,PU,PERC,,61cff121-261e-4eff-a186-a377f91aa027,PreservedSpecimen,a5c1a1e3-c95b-4f91-8ea8-032dc865706b,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris",169808,"Robertson, 1891",Andrena,asteris,,,Chandler_L,,,,,,,Butts_WL,,1961-00-00,1961,0,0,,,10/4/1961,,,,,,,,,,,,,,,,,"United States",Indiana,Allen,,,,,,,,,,,,,,,,,,,,,,,"2019-03-10 06:04:09",http://creativecommons.org/publicdomain/zero/1.0/,"Purdue University, Department of Entomology",,urn:uuid:a5c1a1e3-c95b-4f91-8ea8-032dc865706b,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=36927005
36927006,PU,PERC,,61cff121-261e-4eff-a186-a377f91aa027,PreservedSpecimen,ffa8af64-194b-4335-a066-907330f49c55,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris",169808,"Robertson, 1891",Andrena,asteris,,,Chandler_L,,,,,,,Butts_WL,,1961-00-00,1961,0,0,,,10/4/1961,,,,,,,,,,,,,,,,,"United States",Indiana,Allen,,,,,,,,,,,,,,,,,,,,,,,"2019-03-10 06:04:09",http://creativecommons.org/publicdomain/zero/1.0/,"Purdue University, Department of Entomology",,urn:uuid:ffa8af64-194b-4335-a066-907330f49c55,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=36927006
36927007,PU,PERC,,61cff121-261e-4eff-a186-a377f91aa027,PreservedSpecimen,94cddd16-4784-4d8f-8dad-501ff751d9c8,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris",169808,"Robertson, 1891",Andrena,asteris,,,Chandler_L,,,,,,,Butts_WL,,1961-00-00,1961,0,0,,,10/4/1961,,,,,,,,,,,,,,,,,"United States",Indiana,Allen,,,,,,,,,,,,,,,,,,,,,,,"2019-03-10 06:04:09",http://creativecommons.org/publicdomain/zero/1.0/,"Purdue University, Department of Entomology",,urn:uuid:94cddd16-4784-4d8f-8dad-501ff751d9c8,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=36927007
36927008,PU,PERC,,61cff121-261e-4eff-a186-a377f91aa027,PreservedSpecimen,1044be75-4fa5-4ac3-9e10-559947267027,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris",169808,"Robertson, 1891",Andrena,asteris,,,Chandler_L,,,,,,,Osmun_JV,,1961-00-00,1961,0,0,,,10/1/1961,,,,,,,,,,,,,,,,,"United States",Indiana,Allen,,,,,,,,,,,,,,,,,,,,,,,"2019-03-10 06:04:09",http://creativecommons.org/publicdomain/zero/1.0/,"Purdue University, Department of Entomology",,urn:uuid:1044be75-4fa5-4ac3-9e10-559947267027,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=36927008
36927009,PU,PERC,,61cff121-261e-4eff-a186-a377f91aa027,PreservedSpecimen,45efd4ed-f414-426a-bd5a-6cee2e10cb3c,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris",169808,"Robertson, 1891",Andrena,asteris,,,Chandler_L,,,,,,,Osmun_JV,,1961-00-00,1961,0,0,,,10/1/1961,,,,,,,,,,,,,,,,,"United States",Indiana,Allen,,,,,,,,,,,,,,,,,,,,,,,"2019-03-10 06:04:09",http://creativecommons.org/publicdomain/zero/1.0/,"Purdue University, Department of Entomology",,urn:uuid:45efd4ed-f414-426a-bd5a-6cee2e10cb3c,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=36927009
36927010,PU,PERC,,61cff121-261e-4eff-a186-a377f91aa027,PreservedSpecimen,3aa0be81-0e34-4b07-8d08-7f1cfd7aea47,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris",169808,"Robertson, 1891",Andrena,asteris,,,Chandler_L,,,,,,,Osmun_JV,,1961-00-00,1961,0,0,,,10/1/1961,,,,,,,,,,,,,,,,,"United States",Indiana,Allen,,,,,,,,,,,,,,,,,,,,,,,"2019-03-10 06:04:09",http://creativecommons.org/publicdomain/zero/1.0/,"Purdue University, Department of Entomology",,urn:uuid:3aa0be81-0e34-4b07-8d08-7f1cfd7aea47,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=36927010
